DATE,TIME PERIOD,"Monetary aggregate M2 reported by MFIs, central gov. and post office giro institutions in the euro area (stocks) (BSI.M.U2.Y.V.M20.X.1.U2.2300.Z01.E)"
31/01/1980,1980Jan,1070496
29/02/1980,1980Feb,1078232
31/03/1980,1980Mar,1088333
30/04/1980,1980Apr,1093263
31/05/1980,1980May,1100958
30/06/1980,1980Jun,1109205
31/07/1980,1980Jul,1120452
31/08/1980,1980Aug,1127098
30/09/1980,1980Sep,1133419
31/10/1980,1980Oct,1145159
30/11/1980,1980Nov,1160031
31/12/1980,1980Dec,1165452
31/01/1981,1981Jan,1175008
28/02/1981,1981Feb,1186668
31/03/1981,1981Mar,1194414
30/04/1981,1981Apr,1204188
31/05/1981,1981May,1215847
30/06/1981,1981Jun,1223076
31/07/1981,1981Jul,1230470
31/08/1981,1981Aug,1234000
30/09/1981,1981Sep,1246150
31/10/1981,1981Oct,1253958
30/11/1981,1981Nov,1264026
31/12/1981,1981Dec,1273805
31/01/1982,1982Jan,1287848
28/02/1982,1982Feb,1299092
31/03/1982,1982Mar,1313351
30/04/1982,1982Apr,1326733
31/05/1982,1982May,1334764
30/06/1982,1982Jun,1347524
31/07/1982,1982Jul,1358609
31/08/1982,1982Aug,1372472
30/09/1982,1982Sep,1382740
31/10/1982,1982Oct,1389853
30/11/1982,1982Nov,1401761
31/12/1982,1982Dec,1414556
31/01/1983,1983Jan,1425088
28/02/1983,1983Feb,1435898
31/03/1983,1983Mar,1443423
30/04/1983,1983Apr,1453878
31/05/1983,1983May,1464343
30/06/1983,1983Jun,1474969
31/07/1983,1983Jul,1486582
31/08/1983,1983Aug,1498206
30/09/1983,1983Sep,1503408
31/10/1983,1983Oct,1513481
30/11/1983,1983Nov,1526253
31/12/1983,1983Dec,1537092
31/01/1984,1984Jan,1543563
29/02/1984,1984Feb,1549774
31/03/1984,1984Mar,1559014
30/04/1984,1984Apr,1568820
31/05/1984,1984May,1583749
30/06/1984,1984Jun,1591965
31/07/1984,1984Jul,1603857
31/08/1984,1984Aug,1617813
30/09/1984,1984Sep,1631220
31/10/1984,1984Oct,1638411
30/11/1984,1984Nov,1649653
31/12/1984,1984Dec,1661882
31/01/1985,1985Jan,1676415
28/02/1985,1985Feb,1691806
31/03/1985,1985Mar,1700138
30/04/1985,1985Apr,1709983
31/05/1985,1985May,1715317
30/06/1985,1985Jun,1722006
31/07/1985,1985Jul,1731220
31/08/1985,1985Aug,1738364
30/09/1985,1985Sep,1746936
31/10/1985,1985Oct,1755357
30/11/1985,1985Nov,1760581
31/12/1985,1985Dec,1784034
31/01/1986,1986Jan,1792537
28/02/1986,1986Feb,1800828
31/03/1986,1986Mar,1818276
30/04/1986,1986Apr,1815354
31/05/1986,1986May,1824547
30/06/1986,1986Jun,1832456
31/07/1986,1986Jul,1847233
31/08/1986,1986Aug,1858580
30/09/1986,1986Sep,1872837
31/10/1986,1986Oct,1889296
30/11/1986,1986Nov,1896941
31/12/1986,1986Dec,1903734
31/01/1987,1987Jan,1918425
28/02/1987,1987Feb,1927091
31/03/1987,1987Mar,1940390
30/04/1987,1987Apr,1952955
31/05/1987,1987May,1962800
30/06/1987,1987Jun,1975973
31/07/1987,1987Jul,1985755
31/08/1987,1987Aug,1992865
30/09/1987,1987Sep,2002177
31/10/1987,1987Oct,2016290
30/11/1987,1987Nov,2024128
31/12/1987,1987Dec,2027444
31/01/1988,1988Jan,2037581
29/02/1988,1988Feb,2046281
31/03/1988,1988Mar,2057427
30/04/1988,1988Apr,2076081
31/05/1988,1988May,2090533
30/06/1988,1988Jun,2100900
31/07/1988,1988Jul,2116901
31/08/1988,1988Aug,2131825
30/09/1988,1988Sep,2139817
31/10/1988,1988Oct,2154925
30/11/1988,1988Nov,2167024
31/12/1988,1988Dec,2173774
31/01/1989,1989Jan,2185797
28/02/1989,1989Feb,2197853
31/03/1989,1989Mar,2222161
30/04/1989,1989Apr,2224430
31/05/1989,1989May,2240671
30/06/1989,1989Jun,2263203
31/07/1989,1989Jul,2280165
31/08/1989,1989Aug,2292824
30/09/1989,1989Sep,2303555
31/10/1989,1989Oct,2312607
30/11/1989,1989Nov,2326287
31/12/1989,1989Dec,2343345
31/01/1990,1990Jan,2360748
28/02/1990,1990Feb,2368976
31/03/1990,1990Mar,2371264
30/04/1990,1990Apr,2378067
31/05/1990,1990May,2386578
30/06/1990,1990Jun,2494707
31/07/1990,1990Jul,2506891
31/08/1990,1990Aug,2521801
30/09/1990,1990Sep,2539282
31/10/1990,1990Oct,2548320
30/11/1990,1990Nov,2560619
31/12/1990,1990Dec,2573883
31/01/1991,1991Jan,2583655
28/02/1991,1991Feb,2601663
31/03/1991,1991Mar,2601696
30/04/1991,1991Apr,2615487
31/05/1991,1991May,2630099
30/06/1991,1991Jun,2639742
31/07/1991,1991Jul,2650528
31/08/1991,1991Aug,2665240
30/09/1991,1991Sep,2672023
31/10/1991,1991Oct,2683318
30/11/1991,1991Nov,2704447
31/12/1991,1991Dec,2722085
31/01/1992,1992Jan,2720803
29/02/1992,1992Feb,2729621
31/03/1992,1992Mar,2747609
30/04/1992,1992Apr,2764811
31/05/1992,1992May,2778249
30/06/1992,1992Jun,2784130
31/07/1992,1992Jul,2792853
31/08/1992,1992Aug,2803439
30/09/1992,1992Sep,2836589
31/10/1992,1992Oct,2839113
30/11/1992,1992Nov,2860628
31/12/1992,1992Dec,2853356
31/01/1993,1993Jan,2861813
28/02/1993,1993Feb,2876975
31/03/1993,1993Mar,2905799
30/04/1993,1993Apr,2918598
31/05/1993,1993May,2937506
30/06/1993,1993Jun,2950419
31/07/1993,1993Jul,2962145
31/08/1993,1993Aug,2977872
30/09/1993,1993Sep,2989060
31/10/1993,1993Oct,3013455
30/11/1993,1993Nov,3037935
31/12/1993,1993Dec,3067025
31/01/1994,1994Jan,3085865
28/02/1994,1994Feb,3101072
31/03/1994,1994Mar,3125371
30/04/1994,1994Apr,3133464
31/05/1994,1994May,3135071
30/06/1994,1994Jun,3145542
31/07/1994,1994Jul,3155590
31/08/1994,1994Aug,3157950
30/09/1994,1994Sep,3162985
31/10/1994,1994Oct,3169833
30/11/1994,1994Nov,3167131
31/12/1994,1994Dec,3159101
31/01/1995,1995Jan,3158136
28/02/1995,1995Feb,3172336
31/03/1995,1995Mar,3176992
30/04/1995,1995Apr,3182541
31/05/1995,1995May,3197971
30/06/1995,1995Jun,3212302
31/07/1995,1995Jul,3220407
31/08/1995,1995Aug,3233209
30/09/1995,1995Sep,3256397
31/10/1995,1995Oct,3269129
30/11/1995,1995Nov,3280691
31/12/1995,1995Dec,3312463
31/01/1996,1996Jan,3319911
29/02/1996,1996Feb,3329074
31/03/1996,1996Mar,3337370
30/04/1996,1996Apr,3358564
31/05/1996,1996May,3368180
30/06/1996,1996Jun,3382265
31/07/1996,1996Jul,3397399
31/08/1996,1996Aug,3412208
30/09/1996,1996Sep,3430659
31/10/1996,1996Oct,3436406
30/11/1996,1996Nov,3455104
31/12/1996,1996Dec,3485231
31/01/1997,1997Jan,3482856
28/02/1997,1997Feb,3493517
31/03/1997,1997Mar,3496684
30/04/1997,1997Apr,3498629
31/05/1997,1997May,3514659
30/06/1997,1997Jun,3533982
31/07/1997,1997Jul,3548645
31/08/1997,1997Aug,3558109
30/09/1997,1997Sep,3570962
31/10/1997,1997Oct,3595263
30/11/1997,1997Nov,3600773
31/12/1997,1997Dec,3615677
31/01/1998,1998Jan,3638426
28/02/1998,1998Feb,3656642
31/03/1998,1998Mar,3666674
30/04/1998,1998Apr,3695000
31/05/1998,1998May,3718207
30/06/1998,1998Jun,3742800
31/07/1998,1998Jul,3735036
31/08/1998,1998Aug,3747240
30/09/1998,1998Sep,3756213
31/10/1998,1998Oct,3776275
30/11/1998,1998Nov,3805327
31/12/1998,1998Dec,3848054
31/01/1999,1999Jan,3930982
28/02/1999,1999Feb,3905442
31/03/1999,1999Mar,3930847
30/04/1999,1999Apr,3952443
31/05/1999,1999May,3968746
30/06/1999,1999Jun,3988595
31/07/1999,1999Jul,4023726
31/08/1999,1999Aug,4024225
30/09/1999,1999Sep,4029253
31/10/1999,1999Oct,4052935
30/11/1999,1999Nov,4066747
31/12/1999,1999Dec,4078868
31/01/2000,2000Jan,4121606
29/02/2000,2000Feb,4136412
31/03/2000,2000Mar,4149339
30/04/2000,2000Apr,4174322
31/05/2000,2000May,4168507
30/06/2000,2000Jun,4171277
31/07/2000,2000Jul,4183450
31/08/2000,2000Aug,4209465
30/09/2000,2000Sep,4212330
31/10/2000,2000Oct,4225858
30/11/2000,2000Nov,4226830
31/12/2000,2000Dec,4226952
31/01/2001,2001Jan,4340387
28/02/2001,2001Feb,4363192
31/03/2001,2001Mar,4382791
30/04/2001,2001Apr,4412550
31/05/2001,2001May,4429759
30/06/2001,2001Jun,4467986
31/07/2001,2001Jul,4481145
31/08/2001,2001Aug,4501923
30/09/2001,2001Sep,4533918
31/10/2001,2001Oct,4553696
30/11/2001,2001Nov,4588671
31/12/2001,2001Dec,4615510
31/01/2002,2002Jan,4645232
28/02/2002,2002Feb,4650397
31/03/2002,2002Mar,4662027
30/04/2002,2002Apr,4697507
31/05/2002,2002May,4719009
30/06/2002,2002Jun,4735880
31/07/2002,2002Jul,4761547
31/08/2002,2002Aug,4785365
30/09/2002,2002Sep,4821013
31/10/2002,2002Oct,4847022
30/11/2002,2002Nov,4890882
31/12/2002,2002Dec,4915147
31/01/2003,2003Jan,4922129
28/02/2003,2003Feb,4968610
31/03/2003,2003Mar,5000011
30/04/2003,2003Apr,5048210
31/05/2003,2003May,5088934
30/06/2003,2003Jun,5096544
31/07/2003,2003Jul,5123636
31/08/2003,2003Aug,5160933
30/09/2003,2003Sep,5167505
31/10/2003,2003Oct,5200531
30/11/2003,2003Nov,5217471
31/12/2003,2003Dec,5238327
31/01/2004,2004Jan,5259980
29/02/2004,2004Feb,5281581
31/03/2004,2004Mar,5316424
30/04/2004,2004Apr,5341144
31/05/2004,2004May,5355734
30/06/2004,2004Jun,5385279
31/07/2004,2004Jul,5421035
31/08/2004,2004Aug,5438154
30/09/2004,2004Sep,5484081
31/10/2004,2004Oct,5518152
30/11/2004,2004Nov,5542737
31/12/2004,2004Dec,5573540
31/01/2005,2005Jan,5623288
28/02/2005,2005Feb,5653315
31/03/2005,2005Mar,5679341
30/04/2005,2005Apr,5721454
31/05/2005,2005May,5762299
30/06/2005,2005Jun,5824959
31/07/2005,2005Jul,5885266
31/08/2005,2005Aug,5914509
30/09/2005,2005Sep,5980748
31/10/2005,2005Oct,6001860
30/11/2005,2005Nov,6027064
31/12/2005,2005Dec,6093186
31/01/2006,2006Jan,6124570
28/02/2006,2006Feb,6175649
31/03/2006,2006Mar,6222149
30/04/2006,2006Apr,6295495
31/05/2006,2006May,6317503
30/06/2006,2006Jun,6363553
31/07/2006,2006Jul,6369246
31/08/2006,2006Aug,6406721
30/09/2006,2006Sep,6486139
31/10/2006,2006Oct,6500180
30/11/2006,2006Nov,6556170
31/12/2006,2006Dec,6663329
31/01/2007,2007Jan,6705357
28/02/2007,2007Feb,6739280
31/03/2007,2007Mar,6825507
30/04/2007,2007Apr,6850746
31/05/2007,2007May,6917829
30/06/2007,2007Jun,6987296
31/07/2007,2007Jul,7057569
31/08/2007,2007Aug,7100108
30/09/2007,2007Sep,7161755
31/10/2007,2007Oct,7267682
30/11/2007,2007Nov,7323179
31/12/2007,2007Dec,7356073
31/01/2008,2008Jan,7440745
29/02/2008,2008Feb,7505318
31/03/2008,2008Mar,7536659
30/04/2008,2008Apr,7616022
31/05/2008,2008May,7674618
30/06/2008,2008Jun,7700435
31/07/2008,2008Jul,7750811
31/08/2008,2008Aug,7787840
30/09/2008,2008Sep,7865188
31/10/2008,2008Oct,8010727
30/11/2008,2008Nov,8035211
31/12/2008,2008Dec,8041762
31/01/2009,2009Jan,8089401
28/02/2009,2009Feb,8112143
31/03/2009,2009Mar,8093515
30/04/2009,2009Apr,8145669
31/05/2009,2009May,8140833
30/06/2009,2009Jun,8155197
31/07/2009,2009Jul,8184207
31/08/2009,2009Aug,8176976
30/09/2009,2009Sep,8189516
31/10/2009,2009Oct,8195862
30/11/2009,2009Nov,8181093
31/12/2009,2009Dec,8207839
31/01/2010,2010Jan,8220765
28/02/2010,2010Feb,8228832
31/03/2010,2010Mar,8230444
30/04/2010,2010Apr,8264563
31/05/2010,2010May,8283333
30/06/2010,2010Jun,8314433
31/07/2010,2010Jul,8331067
31/08/2010,2010Aug,8367919
30/09/2010,2010Sep,8367910
31/10/2010,2010Oct,8387527
30/11/2010,2010Nov,8404159
31/12/2010,2010Dec,8423299
31/01/2011,2011Jan,8436054
28/02/2011,2011Feb,8444617
31/03/2011,2011Mar,8458122
30/04/2011,2011Apr,8456009
31/05/2011,2011May,8480338
30/06/2011,2011Jun,8495988
31/07/2011,2011Jul,8509521
31/08/2011,2011Aug,8558299
30/09/2011,2011Sep,8593759
31/10/2011,2011Oct,8572193
30/11/2011,2011Nov,8588089
31/12/2011,2011Dec,8607320
31/01/2012,2012Jan,8644031
29/02/2012,2012Feb,8679871
31/03/2012,2012Mar,8723292
30/04/2012,2012Apr,8704188
31/05/2012,2012May,8746773
30/06/2012,2012Jun,8779098
31/07/2012,2012Jul,8829323
31/08/2012,2012Aug,8846566
30/09/2012,2012Sep,8875881
31/10/2012,2012Oct,8948155
30/11/2012,2012Nov,8975122
31/12/2012,2012Dec,8998474
31/01/2013,2013Jan,9014275
28/02/2013,2013Feb,9049240
31/03/2013,2013Mar,9079682
30/04/2013,2013Apr,9108326
31/05/2013,2013May,9129445
30/06/2013,2013Jun,9126627
31/07/2013,2013Jul,9147571
31/08/2013,2013Aug,9183775
30/09/2013,2013Sep,9198843
31/10/2013,2013Oct,9219721
30/11/2013,2013Nov,9235023
31/12/2013,2013Dec,9212026
31/01/2014,2014Jan,9239268
28/02/2014,2014Feb,9267544
31/03/2014,2014Mar,9284719
30/04/2014,2014Apr,9287884
31/05/2014,2014May,9337820
30/06/2014,2014Jun,9362807
31/07/2014,2014Jul,9390708
31/08/2014,2014Aug,9433034
30/09/2014,2014Sep,9482753
31/10/2014,2014Oct,9500212
30/11/2014,2014Nov,9559214
31/12/2014,2014Dec,9676028
31/01/2015,2015Jan,9745960
28/02/2015,2015Feb,9761926
31/03/2015,2015Mar,9815782
30/04/2015,2015Apr,9865617
31/05/2015,2015May,9909778
30/06/2015,2015Jun,9947884
31/07/2015,2015Jul,10012113
31/08/2015,2015Aug,10030998
30/09/2015,2015Sep,10060424
31/10/2015,2015Oct,10124558
30/11/2015,2015Nov,10182417
31/12/2015,2015Dec,10217313
31/01/2016,2016Jan,10268839
29/02/2016,2016Feb,10320213
31/03/2016,2016Mar,10342705
30/04/2016,2016Apr,10383940
31/05/2016,2016May,10423954
30/06/2016,2016Jun,10452292
31/07/2016,2016Jul,10502607
31/08/2016,2016Aug,10528589
30/09/2016,2016Sep,10569166
31/10/2016,2016Oct,10591645
30/11/2016,2016Nov,10662425
31/12/2016,2016Dec,10710530
31/01/2017,2017Jan,10759056
28/02/2017,2017Feb,10814115
31/03/2017,2017Mar,10881654
30/04/2017,2017Apr,10912228
31/05/2017,2017May,10928508
30/06/2017,2017Jun,10988182
31/07/2017,2017Jul,11008582
31/08/2017,2017Aug,11066852
30/09/2017,2017Sep,11095402
31/10/2017,2017Oct,11139576
30/11/2017,2017Nov,11176686
31/12/2017,2017Dec,11208278
31/01/2018,2018Jan,11262451
28/02/2018,2018Feb,11278673
31/03/2018,2018Mar,11290502
30/04/2018,2018Apr,11334856
31/05/2018,2018May,11419603
30/06/2018,2018Jun,11497274
31/07/2018,2018Jul,11497988
31/08/2018,2018Aug,11512050
30/09/2018,2018Sep,11561340
31/10/2018,2018Oct,11618086
30/11/2018,2018Nov,11671711
31/12/2018,2018Dec,11709262
31/01/2019,2019Jan,11747575
28/02/2019,2019Feb,11812055
31/03/2019,2019Mar,11895554
30/04/2019,2019Apr,11969408
31/05/2019,2019May,12033491
30/06/2019,2019Jun,12079082
31/07/2019,2019Jul,12138190
31/08/2019,2019Aug,12232907
30/09/2019,2019Sep,12268513
31/10/2019,2019Oct,12334635
30/11/2019,2019Nov,12381853
31/12/2019,2019Dec,12380743
31/01/2020,2020Jan,12418229
29/02/2020,2020Feb,12491659
31/03/2020,2020Mar,12790701
30/04/2020,2020Apr,12979824
31/05/2020,2020May,13141213
30/06/2020,2020Jun,13221584
31/07/2020,2020Jul,13292212
31/08/2020,2020Aug,13327764
30/09/2020,2020Sep,13442381
31/10/2020,2020Oct,13540474
30/11/2020,2020Nov,13633583
31/12/2020,2020Dec,13745104
31/01/2021,2021Jan,13835336
28/02/2021,2021Feb,13923364
31/03/2021,2021Mar,14019354
30/04/2021,2021Apr,14074552
31/05/2021,2021May,14156859
30/06/2021,2021Jun,14232712
31/07/2021,2021Jul,14332568
31/08/2021,2021Aug,14405853
30/09/2021,2021Sep,14489494
31/10/2021,2021Oct,14568762
30/11/2021,2021Nov,14617674
31/12/2021,2021Dec,14708392
31/01/2022,2022Jan,14821644
28/02/2022,2022Feb,14904777
31/03/2022,2022Mar,14979994
30/04/2022,2022Apr,15039803
31/05/2022,2022May,15086409
30/06/2022,2022Jun,15142824
31/07/2022,2022Jul,15242503
31/08/2022,2022Aug,15359159
30/09/2022,2022Sep,15422603
31/10/2022,2022Oct,15357455
30/11/2022,2022Nov,15317765
31/12/2022,2022Dec,15229154
31/01/2023,2023Jan,15266625
28/02/2023,2023Feb,15223160
31/03/2023,2023Mar,15188493
30/04/2023,2023Apr,15139424
31/05/2023,2023May,15119329
30/06/2023,2023Jun,15091218
31/07/2023,2023Jul,15051708
31/08/2023,2023Aug,15026212
30/09/2023,2023Sep,15072362
31/10/2023,2023Oct,15032213
30/11/2023,2023Nov,15047105
31/12/2023,2023Dec,15100189
31/01/2024,2024Jan,15078095
29/02/2024,2024Feb,15105825
31/03/2024,2024Mar,15133823
30/04/2024,2024Apr,15151381
31/05/2024,2024May,15197011
30/06/2024,2024Jun,15288943
31/07/2024,2024Jul,15248901
31/08/2024,2024Aug,15315506
30/09/2024,2024Sep,15399769
31/10/2024,2024Oct,15421844
30/11/2024,2024Nov,15541397
31/12/2024,2024Dec,15575663
31/01/2025,2025Jan,15582889
